id,event_type,latitude,longitude,endlatitude,endlongitude,address,end_address,event_cause,requires_road_closure,start_datetime,end_datetime,status,authenticated,modified_datetime,map_file,direction,description,veh_type,veh_no,corridor,priority,cargo_material,reason_breakdown,age_of_truck,created_date,route_path,client_id,created_by_id,last_modified_by_id,assigned_to_police_id,citizen_accident_id,comment,police_station,meta_data,kgid,resolved_at_address,resolved_at_latitude,resolved_at_longitude,closed_by_id,closed_datetime,resolved_by_id,resolved_datetime,gba_identifier,zone,junction,start_datetime_ist,effective_end_datetime,duration_minutes,reason
FKID000045,planned,13.0085677,77.6131497,13.0085507,77.6131283,"Shampura Main Road, AK Colony, Devarajeevana Halli, Bengaluru, Karnataka. Pin-560045 (India)","Shampura Main Road, AK Colony, Devarajeevana Halli, Bengaluru, Karnataka. Pin-560045 (India)",construction,True,2024-01-30 21:21:10.303000+00:00,2024-01-30 21:20:46+00:00,closed,yes,2024-01-30 21:35:48.130423+00,,,,,,Non-corridor,Low,,,,2024-01-30 21:21:41.722681+00,,1,FKUSR00036,FKUSR00001,,,,K.G. Halli,,FKKG000030,,,,,,,,,,,2024-01-31 02:51:10.303000+05:30,2024-01-30 21:20:46+00:00,-0.40505,Negative duration (-0.41 mins)
FKID000048,unplanned,12.9938639,77.5844374,0.0,0.0,"Kumar Krupa Road, Make In India Circle, Vasant Nagar, Bengaluru, Karnataka. Pin-560001 (India)",,tree_fall,False,2024-03-07 20:41:41.999000+00:00,,closed,yes,2024-03-09 03:11:00.033099+00,,,,,,Bellary Road 1,High,,,,2024-03-07 20:42:35.482807+00,,1,FKUSR00039,FKUSR00001,,,,High ground,,FKKG000033,,,,FKUSR00039,2024-03-09 03:11:00.032388+00:00,,,,,,2024-03-08 02:11:41.999000+05:30,2024-03-09 03:11:00.032388+00:00,1829.3005564666666,Unplanned duration exceeds 24 hours (1829.30 mins)
FKID000058,unplanned,12.9932986,77.5837571,0.0,0.0,"Kumar Krupa Road, Make In India Circle, Vasant Nagar, Bengaluru, Karnataka. Pin-560001 (India)",,tree_fall,False,2024-03-07 20:51:39.532000+00:00,,closed,yes,2024-03-09 03:10:44.241768+00,,,,,,Bellary Road 1,High,,,,2024-03-07 20:52:53.033507+00,,1,FKUSR00039,FKUSR00001,,,,High ground,,FKKG000033,,,,FKUSR00039,2024-03-09 03:10:44.241252+00:00,,,,,,2024-03-08 02:21:39.532000+05:30,2024-03-09 03:10:44.241252+00:00,1819.0784875333334,Unplanned duration exceeds 24 hours (1819.08 mins)
FKID000059,unplanned,12.9937523,77.5842482,0.0,0.0,"Kumar Krupa Road, Make In India Circle, Vasant Nagar, Bengaluru, Karnataka. Pin-560001 (India)",,tree_fall,False,2024-03-07 20:47:40.640000+00:00,,closed,yes,2024-03-09 03:10:47.308622+00,,,,,,Bellary Road 1,High,,,,2024-03-07 20:48:21.533886+00,,1,FKUSR00039,FKUSR00001,,,,High ground,,FKKG000033,,,,FKUSR00039,2024-03-09 03:10:47.308123+00:00,,,,,,2024-03-08 02:17:40.640000+05:30,2024-03-09 03:10:47.308123+00:00,1823.1111353833332,Unplanned duration exceeds 24 hours (1823.11 mins)
FKID000060,unplanned,12.9938868,77.5841876,0.0,0.0,"Kumar Krupa Road, Make In India Circle, Vasant Nagar, Bengaluru, Karnataka. Pin-560001 (India)",,tree_fall,False,2024-03-07 20:45:19.752000+00:00,,closed,yes,2024-03-09 03:10:58.037764+00,,,,,,Bellary Road 1,High,,,,2024-03-07 20:47:05.154098+00,,1,FKUSR00039,FKUSR00001,,,,High ground,,FKKG000033,,,,FKUSR00039,2024-03-09 03:10:58.037069+00:00,,,,,,2024-03-08 02:15:19.752000+05:30,2024-03-09 03:10:58.037069+00:00,1825.6380844833334,Unplanned duration exceeds 24 hours (1825.64 mins)
FKID000062,unplanned,13.0126766,77.5581246,13.0126089,77.5582882,"1st Cross Road, Brigade Gateway, Malleshwaram West, Bengaluru, Karnataka. Pin-560055 (India)","1st Cross Road, Brigade Gateway, Malleshwaram West, Bengaluru, Karnataka. Pin-560055 (India)",tree_fall,True,2024-03-07 20:53:37.293000+00:00,,closed,yes,2024-03-23 05:38:25.457027+00,,,,,,Non-corridor,Low,,,,2024-03-07 20:54:24.364146+00,,1,FKUSR00045,FKUSR00001,,,,Malleshwaram,,FKKG000039,,,,FKUSR00045,2024-03-23 05:38:25.456414+00:00,,,,,,2024-03-08 02:23:37.293000+05:30,2024-03-23 05:38:25.456414+00:00,22124.802723566667,Unplanned duration exceeds 24 hours (22124.80 mins)
FKID000072,unplanned,12.9838737,77.5286068,0.0,0.0,"G Narayana Kumar Road, Soundarya Kamakshi, Karekallu, Kamakshipalya, Bengaluru, Karnataka. Pin-560079 (India)",,pot_holes,False,2024-01-30 23:46:07.351000+00:00,,closed,yes,2024-02-05 23:45:54.338246+00,,,,,,Magadi Road,High,,,,2024-01-30 23:46:29.635454+00,,1,FKUSR00056,FKUSR00001,,,,Kamakshipalya,,FKKG000050,,,,FKUSR00056,2024-02-05 23:45:54.337700+00:00,,,,,,2024-01-31 05:16:07.351000+05:30,2024-02-05 23:45:54.337700+00:00,8639.783111666668,Unplanned duration exceeds 24 hours (8639.78 mins)
FKID000073,unplanned,12.9595586,77.5162093,0.0,0.0,"Nagarabhavi Main Road, Block 1 Manasa Nagar, Nagarbhavi Stage 1, Bengaluru, Karnataka. Pin-560072 (India)",,others,False,2024-01-30 23:23:41.783000+00:00,,closed,yes,2024-02-14 06:53:06.704133+00,,,Traffic no problem,,,Non-corridor,Low,,,,2024-01-30 23:24:30.510154+00,,1,FKUSR00057,FKUSR00001,,,,Byatarayanapura,,FKKG000051,,,,FKUSR00057,2024-02-14 06:53:06.703545+00:00,,,,,,2024-01-31 04:53:41.783000+05:30,2024-02-14 06:53:06.703545+00:00,20609.415342416665,Unplanned duration exceeds 24 hours (20609.42 mins)
FKID000076,unplanned,12.9161187,77.5856548,0.0,0.0,"47th Cross Road, Sri Aurobindo Circle, Jayanagar, Bengaluru, Karnataka. Pin-560041 (India)",,pot_holes,False,2024-03-07 21:11:51.734000+00:00,,closed,yes,2024-03-11 21:05:57.352484+00,,,[LOCATION] sir 47 th cross road infront of milana hospital big pathole sir,,,Non-corridor,Low,,,,2024-03-07 21:13:23.340352+00,,1,FKUSR00051,FKUSR00001,,,,J.P. Nagar,,FKKG000045,,,,FKUSR00051,2024-03-11 21:05:57.351976+00:00,,,,,,2024-03-08 02:41:51.734000+05:30,2024-03-11 21:05:57.351976+00:00,5754.0936329333335,Unplanned duration exceeds 24 hours (5754.09 mins)
FKID000083,unplanned,12.9613232,77.5644194,12.9615988,77.5643335,"5th Cross Road, Sirsi Circle, Chamarajpet, Bengaluru, Karnataka. Pin-560018 (India)","5th Cross Road, Sirsi Circle, Chamarajpet, Bengaluru, Karnataka. Pin-560018 (India)",others,True,2024-03-07 21:14:45.233000+00:00,,closed,yes,2024-03-17 02:20:28.973539+00,,,electrical pol road [PERSON],,,Mysore Road,High,,,,2024-03-07 21:16:39.043124+00,,1,FKUSR00065,FKUSR00001,,,,Chamarajpet,,FKKG000059,,,,FKUSR00065,2024-03-17 02:20:28.972956+00:00,,,,,,2024-03-08 02:44:45.233000+05:30,2024-03-17 02:20:28.972956+00:00,13265.728999266667,Unplanned duration exceeds 24 hours (13265.73 mins)
FKID000084,unplanned,12.959419,77.5165897,0.0,0.0,"Nagarabhavi Main Road, Block 1 Manasa Nagar, Nagarbhavi Stage 1, Bengaluru, Karnataka. Pin-560072 (India)",,others,False,2024-03-07 21:28:44.841000+00:00,,closed,yes,2024-03-19 20:38:36.846206+00,,,traffic slow moment,,,Non-corridor,Low,,,,2024-03-07 21:29:22.499126+00,,1,FKUSR00057,FKUSR00001,,,,Byatarayanapura,,FKKG000051,,,,FKUSR00057,2024-03-19 20:38:36.845639+00:00,,,,,,2024-03-08 02:58:44.841000+05:30,2024-03-19 20:38:36.845639+00:00,17229.866743983333,Unplanned duration exceeds 24 hours (17229.87 mins)
FKID000085,unplanned,12.9431035,77.6220445,0.0,0.0,"Srinivagilu Main Road, KR Garden, Block 8, Koramangala, Bengaluru, Karnataka. Pin-560095 (India)",,pot_holes,False,2024-03-07 21:25:14.206000+00:00,,closed,yes,2024-04-07 20:38:13.655406+00,,,potholes,,,Non-corridor,Low,,,,2024-03-07 21:26:34.58741+00,,1,FKUSR00066,FKUSR00001,,,,Adugodi,,FKKG000060,,,,FKUSR00066,2024-04-07 20:38:13.654819+00:00,,,,,,2024-03-08 02:55:14.206000+05:30,2024-04-07 20:38:13.654819+00:00,44592.990813649994,Unplanned duration exceeds 24 hours (44592.99 mins)
FKID000090,unplanned,12.9641056,77.5825203,0.0,0.0,"Silver Jubilee Park Road, Thigalarpet, Nagartapete, Bengaluru, Karnataka. Pin-560002 (India)",,water_logging,False,2024-01-31 03:04:31.974000+00:00,,closed,yes,2024-02-05 21:06:57.770951+00,,,Sjp road chebar open gai de trfice no problem madam,,,Mysore Road,High,,,,2024-01-31 03:05:38.850799+00,,1,FKUSR00071,FKUSR00001,,,,Halasuru Gate,,FKKG000065,,,,FKUSR00071,2024-02-05 21:06:57.770431+00:00,,,,,,2024-01-31 08:34:31.974000+05:30,2024-02-05 21:06:57.770431+00:00,8282.429940516666,Unplanned duration exceeds 24 hours (8282.43 mins)
FKID000099,unplanned,13.0022504,77.5722138,13.0022789,77.5722359,"1st Main Road, Acharya Sri Ramanuja Circle, Malleshwaram, Bengaluru, Karnataka. Pin-560003 (India)","1st Main Road, Acharya Sri Ramanuja Circle, Malleshwaram, Bengaluru, Karnataka. Pin-560003 (India)",tree_fall,True,2024-03-07 21:37:11.187000+00:00,,closed,yes,2024-03-13 23:38:21.571465+00,,,tree fall,,,Non-corridor,Low,,,,2024-03-07 21:37:45.137084+00,,1,FKUSR00077,FKUSR00001,,,,Sadashivanagar,,FKKG000071,,,,FKUSR00077,2024-03-13 23:38:21.570788+00:00,,,,,,2024-03-08 03:07:11.187000+05:30,2024-03-13 23:38:21.570788+00:00,8761.173063133332,Unplanned duration exceeds 24 hours (8761.17 mins)
FKID000100,unplanned,12.9586724,77.5629452,12.9586815,77.562994,"3rd Main Road, Chamarajpet, Bengaluru, Karnataka. Pin-560018 (India)","3rd Main Road, Chamarajpet, Bengaluru, Karnataka. Pin-560018 (India)",tree_fall,True,2024-03-07 21:34:37.863000+00:00,,closed,yes,2024-03-17 02:20:25.34098+00,,,electrical pol and tree fall on road sir,,,Mysore Road,High,,,,2024-03-07 21:37:04.195932+00,,1,FKUSR00065,FKUSR00001,,,,Chamarajpet,,FKKG000059,,,,FKUSR00065,2024-03-17 02:20:25.340422+00:00,,,,,,2024-03-08 03:04:37.863000+05:30,2024-03-17 02:20:25.340422+00:00,13245.791290366667,Unplanned duration exceeds 24 hours (13245.79 mins)
FKID000109,unplanned,12.9601533,77.5633429,0.0,0.0,"6th Cross Road, Sirsi Circle, Chamarajpet, Bengaluru, Karnataka. Pin-560018 (India)",,tree_fall,False,2024-03-07 22:16:53.889000+00:00,,closed,yes,2024-03-17 02:20:18.872048+00,,,,,,Mysore Road,High,,,,2024-03-07 22:17:29.026749+00,,1,FKUSR00065,FKUSR00001,,,,Chamarajpet,,FKKG000059,,,,FKUSR00065,2024-03-17 02:20:18.871464+00:00,,,,,,2024-03-08 03:46:53.889000+05:30,2024-03-17 02:20:18.871464+00:00,13203.4163744,Unplanned duration exceeds 24 hours (13203.42 mins)
FKID000110,unplanned,12.9578001,77.5631189,0.0,0.0,"4th Main Road, Chamarajpet, Bengaluru, Karnataka. Pin-560018 (India)",,tree_fall,False,2024-03-07 22:08:18.693000+00:00,,closed,yes,2024-03-17 02:20:21.257903+00,,,tree fall,,,Non-corridor,Low,,,,2024-03-07 22:08:52.011941+00,,1,FKUSR00065,FKUSR00001,,,,Chamarajpet,,FKKG000059,,,,FKUSR00065,2024-03-17 02:20:21.257177+00:00,,,,,,2024-03-08 03:38:18.693000+05:30,2024-03-17 02:20:21.257177+00:00,13212.042736283332,Unplanned duration exceeds 24 hours (13212.04 mins)
FKID000112,unplanned,12.9187567,77.621505,0.0,0.0,"5th Cross Road, Central Silk Board Staff Quarters, Dollar Scheme Colony, BTM Layout Stage 1, Bengaluru, Karnataka. Pin-560068 (India)",,pot_holes,False,2023-12-16 02:15:10.244000+00:00,,closed,yes,2024-04-13 01:11:51.814624+00,,,Service road,,,ORR East 1,High,,,,2023-12-16 02:15:32.671555+00,,1,FKUSR00088,FKUSR00001,,,,Madiwala,,FKKG000082,,,,FKUSR00088,2024-04-13 01:11:51.740711+00:00,,,Bengaluru South Corporation,South Zone 2,SilkBoardJunc,2023-12-16 07:45:10.244000+05:30,2024-04-13 01:11:51.740711+00:00,171296.69161185002,Unplanned duration exceeds 24 hours (171296.69 mins)
FKID000129,unplanned,12.9516567,77.500185,0.0,0.0,"Bangalore University Road, Ullal Junction, Jnana Bharathi, Bengaluru, Karnataka. Pin-560056 (India)",,others,False,2023-12-30 09:28:08.173000+00:00,,closed,yes,2024-04-13 02:16:57.823384+00,,,Car wire problem,,,Non-corridor,Low,,,,2023-12-30 09:31:40.760351+00,,1,FKUSR00103,FKUSR00001,,,,Jnanabharathi,,FKKG000097,,,,FKUSR00103,2024-04-13 02:16:57.822579+00:00,,,Bengaluru West Corporation,West Zone 1,RingRoad-UllalJunction,2023-12-30 14:58:08.173000+05:30,2024-04-13 02:16:57.822579+00:00,150768.82749298334,Unplanned duration exceeds 24 hours (150768.83 mins)
FKID000135,unplanned,13.0467369,77.575502,0.0,0.0,"Gundappa Road, Basaveshwara Layout, Nagashetty Halli, RMV Stage 2, Bengaluru, Karnataka. Pin-560094 (India)",,others,False,2023-12-21 07:01:13.955000+00:00,,closed,yes,2024-01-31 20:51:40.339186+00,,,Petrol nil,,,ORR North 2,High,,,,2023-12-21 07:01:13.679678+00,,1,FKUSR00108,FKUSR00001,,,,Kodigehalli,,FKKG000102,,,,FKUSR00108,2024-01-31 20:51:40.338617+00:00,,,Bengaluru North Corporation,North Zone 2,BhadrappaLayout,2023-12-21 12:31:13.955000+05:30,2024-01-31 20:51:40.338617+00:00,59870.439726950004,Unplanned duration exceeds 24 hours (59870.44 mins)
FKID000144,unplanned,12.961311,77.55932,12.961311,77.55932,"BGS Flyover, Cobaley Colony, JJR Nagar South, Bengaluru, Karnataka. Pin-560018 (India)","BGS Flyover, Cobaley Colony, JJR Nagar South, Bengaluru, Karnataka. Pin-560018 (India)",tree_fall,True,2024-03-07 23:41:21.369000+00:00,,closed,yes,2024-03-17 02:20:16.561724+00,,,tree fall,,,Mysore Road,High,,,,2024-03-07 23:42:16.742501+00,,1,FKUSR00065,FKUSR00001,,,,Chamarajpet,,FKKG000059,,,,FKUSR00065,2024-03-17 02:20:16.561165+00:00,,,,,,2024-03-08 05:11:21.369000+05:30,2024-03-17 02:20:16.561165+00:00,13118.919869416666,Unplanned duration exceeds 24 hours (13118.92 mins)
FKID000145,unplanned,12.9146696,77.5640607,0.0,0.0,"Subramanyapura Main Road, Bendre Nagar, Banashankari Stage 2, Bengaluru, Karnataka. Pin-560070 (India)",,road_conditions,False,2024-01-31 21:52:18.310000+00:00,,closed,yes,2024-03-11 00:53:48.221485+00,,,Trafic slow,,,ORR West 1,High,,,,2024-01-31 21:52:51.780717+00,,1,FKUSR00115,FKUSR00001,,,,K.S. Layout,,FKKG000109,,,,FKUSR00115,2024-03-11 00:53:48.220869+00:00,,,,,,2024-02-01 03:22:18.310000+05:30,2024-03-11 00:53:48.220869+00:00,56341.49851448333,Unplanned duration exceeds 24 hours (56341.50 mins)
FKID000158,planned,12.9762232,77.6016656,0.0,0.0,"St Marks Road, Anil Kumble Chowk, Shivaji Nagar, Bengaluru, Karnataka. Pin-560001 (India)",,construction,False,2024-01-31 22:25:30.936000+00:00,2024-01-31 18:26:46+00:00,closed,no,2024-01-31 22:48:09.127136+00,,,Off road bmtc bus,,,Old Madras Road,High,,,,2024-01-31 22:26:55.849218+00,,1,FKUSR00124,FKUSR00001,,,,Cubbon Park,,FKKG000118,,,,,,,,,,,2024-02-01 03:55:30.936000+05:30,2024-01-31 18:26:46+00:00,-238.74893333333333,Negative duration (-238.75 mins)
FKID000159,unplanned,12.9211317,77.6627683,0.0,0.0,"Outer Ring Road, Avana, Iblur Village, Bellandur, Bengaluru, Karnataka. Pin-560102 (India)",,water_logging,False,2024-01-25 06:56:05.726000+00:00,,closed,yes,2024-01-31 23:49:57.387031+00,,,[LOCATION] downramp to agar water logging traffic slow moving,,,ORR East 1,High,,,,2024-01-25 06:56:59.273614+00,,1,FKUSR00125,FKUSR00001,,,,Bellandur,,FKKG000119,,,,FKUSR00125,2024-01-31 23:49:57.386456+00:00,,,,,IbblurJunction',2024-01-25 12:26:05.726000+05:30,2024-01-31 23:49:57.386456+00:00,9653.8610076,Unplanned duration exceeds 24 hours (9653.86 mins)
FKID000164,unplanned,12.9943131,77.617972,0.0,0.0,"Assayee Road, Sham Mansion Apartment, Cox Town, Bengaluru, Karnataka. Pin-560005 (India)",,pot_holes,False,2024-01-31 23:07:48.509000+00:00,,closed,yes,2024-04-06 06:52:12.153103+00,,,3 feet width 1 foot deep,,,,Low,,,,2024-01-31 23:22:36.886331+00,,1,FKUSR00130,FKUSR00001,,,,Pulikeshinagar(F.Town),,FKKG000124,,,,FKUSR00130,2024-04-06 06:52:12.152261+00:00,,,,,,2024-02-01 04:37:48.509000+05:30,2024-04-06 06:52:12.152261+00:00,94064.39405434999,Unplanned duration exceeds 24 hours (94064.39 mins)
FKID000168,unplanned,13.1212507,77.6179465,0.0,0.0,"Dwaraka Nagara Road, Krishna Shelton, Kattigenahalli, Bengaluru, Karnataka. Pin-560063 (India)",,pot_holes,False,2023-11-20 21:45:57.142000+00:00,,closed,yes,2023-11-21 22:56:31.495006+00,,,[LOCATION] main road [LOCATION] potholes sir,,,Non-corridor,Low,,,,2023-11-20 21:46:38.583963+00,,1,FKUSR00105,FKUSR00009,,,,Yelahanka,,FKKG000099,,,,FKUSR00105,2023-11-21 22:56:31.494361+00:00,,,Bengaluru North Corporation,North Zone 2,,2023-11-21 03:15:57.142000+05:30,2023-11-21 22:56:31.494361+00:00,1510.57253935,Unplanned duration exceeds 24 hours (1510.57 mins)
FKID000201,unplanned,12.9844178,77.5970285,0.0,0.0,"Vidhan Vidhi Road, SG Balekundry Circle, Shivaji Nagar, Bengaluru, Karnataka. Pin-560001 (India)",,road_conditions,False,2024-03-08 05:08:03.073000+00:00,,closed,yes,2024-04-05 06:15:25.93164+00,,,"The manhole cover has collapsed at [LOCATION], and sewage water is overflowing onto the road.""",,,CBD 2,High,,,,2024-03-08 05:17:37.537202+00,,1,FKUSR00149,FKUSR00001,,,,Cubbon Park,,FKKG000143,,,,FKUSR00149,2024-04-05 06:15:25.931052+00:00,,,,,,2024-03-08 10:38:03.073000+05:30,2024-04-05 06:15:25.931052+00:00,40387.38096753333,Unplanned duration exceeds 24 hours (40387.38 mins)
